Year,Implemen-tation year,Price increase (%),Consumption reduction (%),Projected consumption (billions of sticks),Retail Price/Stick (IDR),Excise/Stick (IDR),VAT (%),VAT (IDR),Selling Price,Pre-tax price,,,,
2026,1,20%,-15%,288.98,2337.71,1083.84,9.9%,231.43,3652.98,2337.71,,,,
2027,2,10.2%,-7%,276.07,2576.86,1354.80,9.9%,255.11,4186.77,3039.02,,,,
2028,3,11.8%,-9%,260.59,2880.70,1693.50,9.9%,285.19,4859.39,3349.92,,,,
2029,4,13.1%,-10%,243.57,3256.73,2116.87,9.9%,322.42,5696.02,3744.91,,,,
2030,5,7.0%,-5%,238.44,3484.70,2265.06,9.9%,344.99,6094.74,4233.75,,,,
2031,6,7.0%,-5%,233.40,3728.63,2423.61,9.9%,369.13,6521.37,4530.11,,,,
2032,7,7.0%,-5%,228.48,3989.63,2593.26,9.9%,394.97,6977.87,4847.22,,,,
2033,8,7.0%,-5%,223.66,4268.91,2774.79,9.9%,422.62,7466.32,5186.52,,,,
2034,9,7.0%,-5%,218.94,4567.73,2969.03,9.9%,452.21,7988.96,5549.58,,,,
2035,10,7.0%,-5%,214.32,4887.47,3176.86,9.9%,483.86,8548.19,5938.05,,,,
2036,11,7.0%,-5%,209.80,5229.60,3399.24,9.9%,517.73,9146.57,6353.72,,,,
2037,12,7.0%,-5%,205.37,5595.67,3637.18,9.9%,553.97,9786.82,6798.48,,,,
2038,13,7.0%,-5%,201.04,5987.37,3891.79,9.9%,592.75,10471.90,7274.37,,,,
2039,14,7.0%,-5%,196.80,6406.48,4164.21,9.9%,634.24,11204.94,7783.58,,,,
2040,15,7.0%,-5%,192.64,6854.93,4455.71,9.9%,678.64,11989.28,8328.43,,,,
2041,16,7.0%,-5%,188.58,7334.78,4767.61,9.9%,726.14,12828.53,8911.42,,,,
2042,17,7.0%,-5%,184.60,7848.21,5101.34,9.9%,776.97,13726.53,9535.21,,,,
2043,18,7.0%,-5%,180.70,8397.59,5458.43,9.9%,831.36,14687.38,10202.68,,,,
2044,19,7.0%,-5%,176.89,8985.42,5840.52,9.9%,889.56,15715.50,10916.87,,,,
2045,20,7.0%,-5%,173.16,9614.40,6249.36,9.9%,951.83,16815.59,11681.05,,,,
2046,21,7.0%,-5%,169.51,10287.41,6686.82,9.9%,1018.45,17992.68,12498.72,,,,
2047,22,7.0%,-5%,165.93,11007.53,7154.89,9.9%,1089.75,19252.17,13373.63,,,,
2048,23,7.0%,-5%,162.43,11778.05,7655.74,9.9%,1166.03,20599.82,14309.79,,,,
2049,24,7.0%,-5%,159.00,12602.52,8191.64,9.9%,1247.65,22041.80,15311.47,,,,
2050,25,7.0%,-5%,155.65,13484.69,8765.05,9.9%,1334.98,23584.73,16383.27,,,,




